Metric,Decision Tree - S_E,Decision Tree - Mo,Decision Tree - Fo,LightGBM - S_E,LightGBM - Mo,LightGBM - Fo
Sensitivity,0.8585,0.4681,0.0,0.3431,0.3105,0.3433
Specificity,0.4731,0.8518,1.0,0.6569,0.6895,0.6535
Positive Predictive Value (PPV),0.7866,0.5715,0.0,0.6935,0.2968,0.0096
Negative Predictive Value (NPV),0.5964,0.7914,0.9903,0.3065,0.7032,0.9902
Prevalence,0.6935,0.2968,0.0097,0.6935,0.2968,0.0097
Detection Rate,0.5954,0.1389,0.0,0.2379,0.0922,0.0033
Detection Prevalence,0.7569,0.2431,0.0,0.3431,0.3105,0.3465
Balanced Accuracy,0.6658,0.66,0.5,0.5,0.5,0.4984
